name,level,move,type,power,accuracy,pp,category,effect,effect_prob,gen,stat_change,amount_changed
gastly,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
gastly,27,hypnosis,psychic,0,60,20,status,Puts the target to sleep.,100,1,N/A,0
gastly,35,dream-eater,psychic,100,100,15,special,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,100,1,N/A,0
onix,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
onix,1,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
onix,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
onix,15,bind,normal,15,75,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
onix,19,rock-throw,rock,50,65,15,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
onix,25,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
onix,33,slam,normal,80,75,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
onix,43,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
drowzee,1,pound,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
drowzee,1,hypnosis,psychic,0,60,20,status,Puts the target to sleep.,100,1,N/A,0
drowzee,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
drowzee,12,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
drowzee,17,confusion,psychic,50,100,25,special,Has a 10% chance to confuse the target.,10,1,N/A,0
drowzee,24,headbutt,normal,70,100,15,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
drowzee,29,poison-gas,poison,0,55,40,status,Poisons the target.,100,1,N/A,0
drowzee,32,psychic,psychic,90,100,10,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
drowzee,37,meditate,psychic,0,_,40,status,Raises the user's Attack by one stage.,100,1,attack,1
krabby,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
krabby,1,bubble,water,20,100,30,special,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
krabby,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
krabby,20,vice-grip,normal,55,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
krabby,25,guillotine,normal,0,30,5,physical,Causes a one-hit KO.,100,1,N/A,0
krabby,30,stomp,normal,65,100,20,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
krabby,35,crabhammer,water,100,85,10,physical,Has an increased chance for a critical hit.,100,1,N/A,0
krabby,40,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
voltorb,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
voltorb,1,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
voltorb,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
voltorb,17,sonic-boom,normal,0,90,20,special,Inflicts 20 points of damage.,100,1,N/A,0
voltorb,22,self-destruct,normal,130,100,5,physical,User faints.,100,1,N/A,0
voltorb,29,light-screen,psychic,0,_,30,status,Reduces damage from special attacks by 50% for five turns.,100,1,N/A,0
voltorb,36,swift,normal,60,_,20,special,Never misses.,100,1,N/A,0
voltorb,43,explosion,normal,170,100,5,physical,User faints.,100,1,N/A,0
exeggcute,1,barrage,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
exeggcute,1,hypnosis,psychic,0,60,20,status,Puts the target to sleep.,100,1,N/A,0
exeggcute,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
exeggcute,25,reflect,psychic,0,_,20,status,Reduces damage from physical attacks by half.,100,1,N/A,0
exeggcute,28,leech-seed,grass,0,90,10,status,"Seeds the target, stealing HP from it every turn.",100,1,N/A,0
exeggcute,32,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
exeggcute,37,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
exeggcute,42,solar-beam,grass,120,100,10,special,Requires a turn to charge before attacking.,100,1,N/A,0
exeggcute,48,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
cubone,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
cubone,1,bone-club,ground,65,85,20,physical,Has a 10% chance to make the target flinch.,10,1,N/A,0
cubone,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
cubone,25,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
cubone,31,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
cubone,38,thrash,normal,90,100,20,physical,"Hits every turn for 2-3 turns, then confuses the user.",100,1,N/A,0
cubone,43,bonemerang,ground,50,90,10,physical,Hits twice in one turn.,100,1,N/A,0
cubone,46,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
lickitung,1,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
lickitung,1,wrap,normal,15,85,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
lickitung,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
lickitung,7,stomp,normal,65,100,20,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
lickitung,15,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
lickitung,23,defense-curl,normal,0,_,40,status,Raises user's Defense by one stage.,100,1,defense,1
lickitung,31,slam,normal,80,75,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
lickitung,39,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
koffing,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
koffing,1,smog,poison,20,70,20,special,Has a 40% chance to poison the target.,40,1,N/A,0
koffing,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
koffing,32,sludge,poison,65,100,20,special,Has a 30% chance to poison the target.,30,1,N/A,0
koffing,37,smokescreen,normal,0,100,20,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
koffing,40,self-destruct,normal,130,100,5,physical,User faints.,100,1,N/A,0
koffing,45,haze,ice,0,_,30,status,"Resets all Pokémon's stats, accuracy, and evasion.",100,1,N/A,0
koffing,48,explosion,normal,170,100,5,physical,User faints.,100,1,N/A,0
rhyhorn,1,horn-attack,normal,65,100,25,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
rhyhorn,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
rhyhorn,30,stomp,normal,65,100,20,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
rhyhorn,35,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
rhyhorn,40,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
rhyhorn,45,horn-drill,normal,0,30,5,physical,Causes a one-hit KO.,100,1,N/A,0
rhyhorn,50,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
rhyhorn,55,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
tangela,1,bind,normal,15,75,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
tangela,1,constrict,normal,10,100,35,physical,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
tangela,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
tangela,29,absorb,grass,20,100,20,special,Drains half the damage inflicted to heal the user.,100,1,N/A,0
tangela,32,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
tangela,36,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
tangela,39,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
tangela,45,slam,normal,80,75,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
tangela,49,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
kangaskhan,1,comet-punch,normal,18,85,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
kangaskhan,1,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
kangaskhan,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
kangaskhan,26,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
kangaskhan,31,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
kangaskhan,36,mega-punch,normal,80,85,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
kangaskhan,41,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
kangaskhan,46,dizzy-punch,normal,70,100,10,physical,Has a 20% chance to confuse the target.,20,1,N/A,0
horsea,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
horsea,1,bubble,water,20,100,30,special,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
horsea,19,smokescreen,normal,0,100,20,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
horsea,24,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
horsea,30,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
horsea,37,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
horsea,45,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
goldeen,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
goldeen,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
goldeen,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
goldeen,19,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
goldeen,24,horn-attack,normal,65,100,25,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
goldeen,30,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
goldeen,37,waterfall,water,80,100,15,physical,Has a 20% chance to make the target flinch.,20,1,N/A,0
goldeen,45,horn-drill,normal,0,30,5,physical,Causes a one-hit KO.,100,1,N/A,0
goldeen,54,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
staryu,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
staryu,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
staryu,17,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
staryu,22,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
staryu,27,recover,normal,0,_,20,status,Heals the user by half its max HP.,100,1,N/A,0
staryu,32,swift,normal,60,_,20,special,Never misses.,100,1,N/A,0
staryu,37,minimize,normal,0,_,20,status,Raises the user's evasion by two stages.,100,1,evasion,2
staryu,42,light-screen,psychic,0,_,30,status,Reduces damage from special attacks by 50% for five turns.,100,1,N/A,0
staryu,47,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
scyther,1,quick-attack,normal,40,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
scyther,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
scyther,17,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
scyther,20,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
scyther,24,double-team,normal,0,_,15,status,Raises the user's evasion by one stage.,100,1,evasion,1
scyther,29,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
scyther,35,swords-dance,normal,0,_,30,status,Raises the user's Attack by two stages.,100,1,attack,2
scyther,42,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
pinsir,1,vice-grip,normal,55,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
pinsir,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
pinsir,25,seismic-toss,fighting,0,100,20,physical,Inflicts damage equal to the user's level.,100,1,N/A,0
pinsir,30,guillotine,normal,0,30,5,physical,Causes a one-hit KO.,100,1,N/A,0
pinsir,36,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
pinsir,43,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
pinsir,49,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
pinsir,54,swords-dance,normal,0,_,30,status,Raises the user's Attack by two stages.,100,1,attack,2
tauros,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
tauros,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
tauros,21,stomp,normal,65,100,20,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
tauros,28,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
tauros,35,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
tauros,44,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
tauros,51,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
magikarp,1,splash,normal,0,_,40,status,Does nothing.,100,1,N/A,0
magikarp,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
magikarp,15,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
lapras,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
lapras,1,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
lapras,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
lapras,16,sing,normal,0,55,15,status,Puts the target to sleep.,100,1,N/A,0
lapras,20,mist,ice,0,_,30,status,Protects the user's stats from being changed by enemy moves.,100,1,N/A,0
lapras,25,body-slam,normal,85,100,15,physical,Has a 30% chance to paralyze the target.,30,1,N/A,0
lapras,31,confuse-ray,ghost,0,100,10,status,Confuses the target.,100,1,N/A,0
lapras,38,ice-beam,ice,95,100,10,special,Has a 10% chance to freeze the target.,10,1,N/A,0
lapras,46,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
ditto,1,transform,normal,0,_,10,status,User becomes a copy of the target until it leaves battle.,100,1,N/A,0
ditto,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
eevee,1,sand-attack,normal,0,100,15,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
eevee,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
eevee,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
eevee,27,quick-attack,normal,40,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
eevee,31,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
eevee,37,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
eevee,45,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
porygon,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
porygon,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
porygon,1,conversion,normal,0,_,30,status,User's type changes to the type of one of its moves at random.,100,1,N/A,0
porygon,1,sharpen,normal,0,_,30,status,Raises the user's Attack by one stage.,100,1,attack,1
porygon,23,psybeam,psychic,65,100,20,special,Has a 10% chance to confuse the target.,10,1,N/A,0
porygon,28,recover,normal,0,_,20,status,Heals the user by half its max HP.,100,1,N/A,0
porygon,35,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
porygon,42,tri-attack,normal,80,100,10,special,"Has a 20% chance to burn, freeze, or paralyze the target.",20,1,N/A,0
omanyte,1,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
omanyte,1,withdraw,water,0,_,40,status,Raises the user's Defense by one stage.,100,1,defense,1
omanyte,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
omanyte,34,horn-attack,normal,65,100,25,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
omanyte,39,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
omanyte,46,spike-cannon,normal,20,100,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
omanyte,53,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
kabuto,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
kabuto,1,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
kabuto,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
kabuto,34,absorb,grass,20,100,20,special,Drains half the damage inflicted to heal the user.,100,1,N/A,0
kabuto,39,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
kabuto,44,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
kabuto,49,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
aerodactyl,1,wing-attack,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
aerodactyl,1,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
aerodactyl,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
aerodactyl,33,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
aerodactyl,38,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
aerodactyl,45,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
aerodactyl,54,hyper-beam,normal,150,90,5,special,User foregoes its next turn to recharge.,100,1,N/A,0
articuno,1,ice-beam,ice,95,100,10,special,Has a 10% chance to freeze the target.,10,1,N/A,0
articuno,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
articuno,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
articuno,51,blizzard,ice,110,90,5,special,Has a 10% chance to freeze the target.,10,1,N/A,0
articuno,55,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
articuno,60,mist,ice,0,_,30,status,Protects the user's stats from being changed by enemy moves.,100,1,N/A,0
zapdos,1,drill-peck,flying,80,100,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
zapdos,1,thunder-shock,electric,40,100,30,special,Has a 10% chance to paralyze the target.,10,1,N/A,0
zapdos,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
zapdos,51,thunder,electric,110,70,10,special,Has a 30% chance to paralyze the target.,30,1,N/A,0
zapdos,55,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
zapdos,60,light-screen,psychic,0,_,30,status,Reduces damage from special attacks by 50% for five turns.,100,1,N/A,0
moltres,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
moltres,1,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
moltres,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
moltres,51,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
moltres,55,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
moltres,60,sky-attack,flying,140,90,5,physical,User charges for one turn before attacking.  Has a 30% chance to make the target flinch.,30,1,N/A,0
dratini,1,wrap,normal,15,85,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
dratini,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
dratini,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
dratini,10,thunder-wave,electric,0,100,20,status,Paralyzes the target.,100,1,N/A,0
dratini,20,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
dratini,30,slam,normal,80,75,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
dratini,40,dragon-rage,dragon,0,100,10,special,Inflicts 40 points of damage.,100,1,N/A,0
dratini,50,hyper-beam,normal,150,90,5,special,User foregoes its next turn to recharge.,100,1,N/A,0
mewtwo,1,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
mewtwo,1,confusion,psychic,50,100,25,special,Has a 10% chance to confuse the target.,10,1,N/A,0
mewtwo,1,psychic,psychic,90,100,10,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
mewtwo,1,swift,normal,60,_,20,special,Never misses.,100,1,N/A,0
mewtwo,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
mewtwo,63,barrier,psychic,0,_,30,status,Raises the user's Defense by two stages.,100,1,defense,2
mewtwo,70,recover,normal,0,_,20,status,Heals the user by half its max HP.,100,1,N/A,0
mewtwo,75,mist,ice,0,_,30,status,Protects the user's stats from being changed by enemy moves.,100,1,N/A,0
mewtwo,81,amnesia,psychic,0,_,20,status,Raises the user's Special Defense by two stages.,100,1,sp_defense,2
mew,1,pound,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
mew,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
mew,10,transform,normal,0,_,10,status,User becomes a copy of the target until it leaves battle.,100,1,N/A,0
mew,20,mega-punch,normal,80,85,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
mew,30,metronome,normal,0,_,10,status,Randomly selects and uses any move in the game.,100,1,N/A,0
mew,40,psychic,psychic,90,100,10,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
ivysaur,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
ivysaur,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
ivysaur,1,leech-seed,grass,0,90,10,status,"Seeds the target, stealing HP from it every turn.",100,1,N/A,0
ivysaur,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
ivysaur,13,vine-whip,grass,45,100,10,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
ivysaur,22,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
ivysaur,30,razor-leaf,grass,55,95,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
ivysaur,38,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
ivysaur,46,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
ivysaur,54,solar-beam,grass,120,100,10,special,Requires a turn to charge before attacking.,100,1,N/A,0
venusaur,1,vine-whip,grass,45,100,10,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
venusaur,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
venusaur,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
venusaur,1,leech-seed,grass,0,90,10,status,"Seeds the target, stealing HP from it every turn.",100,1,N/A,0
venusaur,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
venusaur,22,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
venusaur,30,razor-leaf,grass,55,95,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
venusaur,43,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
venusaur,55,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
venusaur,65,solar-beam,grass,120,100,10,special,Requires a turn to charge before attacking.,100,1,N/A,0
charmeleon,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
charmeleon,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
charmeleon,1,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
charmeleon,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
charmeleon,15,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
charmeleon,24,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
charmeleon,33,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
charmeleon,42,flamethrower,fire,95,100,15,special,Has a 10% chance to burn the target.,10,1,N/A,0
charmeleon,56,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
charizard,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
charizard,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
charizard,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
charizard,1,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
charizard,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
charizard,24,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
charizard,36,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
charizard,46,flamethrower,fire,95,100,15,special,Has a 10% chance to burn the target.,10,1,N/A,0
charizard,55,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
wartortle,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
wartortle,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
wartortle,1,bubble,water,20,100,30,special,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
wartortle,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
wartortle,15,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
wartortle,24,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
wartortle,31,withdraw,water,0,_,40,status,Raises the user's Defense by one stage.,100,1,defense,1
wartortle,39,skull-bash,normal,100,100,15,physical,Raises the user's Defense by one stage.  User charges for one turn before attacking.,100,1,N/A,0
wartortle,47,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
blastoise,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
blastoise,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
